time	I(R_load)
Step Information: Rload=500m  (Step: 1/2)
1.042484243854003e-06	4.801197e-07
1.052484243854003e-06	4.902723e-07
1.062484243854003e-06	5.004933e-07
1.072484243854003e-06	5.107809e-07
1.082484243854002e-06	5.211327e-07
1.092484243854002e-06	5.315468e-07
1.102484243854002e-06	5.420209e-07
1.112484243854002e-06	5.525529e-07
1.122484243854002e-06	5.631405e-07
1.132484243854002e-06	5.737818e-07
1.142484243854002e-06	5.844743e-07
1.152484243854002e-06	5.952159e-07
1.162484243854002e-06	6.060043e-07
1.172484243854002e-06	6.168372e-07
1.182484243854002e-06	6.277124e-07
1.192484243854001e-06	6.386277e-07
1.202484243854001e-06	6.495806e-07
1.212484243854001e-06	6.605688e-07
1.222484243854001e-06	6.715901e-07
1.232484243854001e-06	6.826421e-07
1.242484243854001e-06	6.937224e-07
1.252484243854001e-06	7.048287e-07
1.262484243854001e-06	7.159586e-07
1.272484243854001e-06	7.271098e-07
1.282484243854001e-06	7.382797e-07
1.292484243854000e-06	7.494661e-07
1.302484243854000e-06	7.606665e-07
1.312484243854000e-06	7.718786e-07
1.322484243854000e-06	7.830999e-07
1.332484243854000e-06	7.943280e-07
1.342484243854000e-06	8.055604e-07
1.352484243854000e-06	8.167948e-07
1.362484243854000e-06	8.280287e-07
1.372484243854000e-06	8.392597e-07
1.382484243854000e-06	8.504853e-07
1.392484243854000e-06	8.617031e-07
1.402484243853999e-06	8.729107e-07
1.412484243853999e-06	8.841056e-07
1.422484243853999e-06	8.952854e-07
1.432484243853999e-06	9.064477e-07
1.442484243853999e-06	9.175899e-07
1.452484243853999e-06	9.287098e-07
1.462484243853999e-06	9.398047e-07
1.472484243853999e-06	9.508723e-07
1.482484243853999e-06	9.619102e-07
1.492484243853999e-06	9.729160e-07
1.502484243853998e-06	9.838873e-07
1.512484243853998e-06	9.948216e-07
1.522484243853998e-06	1.005716e-06
1.532484243853998e-06	1.016569e-06
1.542484243853998e-06	1.027378e-06
1.552484243853998e-06	1.038141e-06
1.562484243853998e-06	1.048854e-06
1.572484243853998e-06	1.059516e-06
1.582484243853998e-06	1.070124e-06
1.592484243853998e-06	1.080676e-06
1.602484243853997e-06	1.091170e-06
1.612484243853997e-06	1.101603e-06
1.622484243853997e-06	1.111973e-06
1.632484243853997e-06	1.122278e-06
1.642484243853997e-06	1.132515e-06
1.652484243853997e-06	1.142681e-06
1.662484243853997e-06	1.152776e-06
1.672484243853997e-06	1.162796e-06
1.682484243853997e-06	1.172739e-06
1.692484243853997e-06	1.182603e-06
1.702484243853997e-06	1.192386e-06
1.712484243853996e-06	1.202085e-06
1.722484243853996e-06	1.211699e-06
1.732484243853996e-06	1.221224e-06
1.742484243853996e-06	1.230660e-06
1.752484243853996e-06	1.240003e-06
1.762484243853996e-06	1.249252e-06
1.772484243853996e-06	1.258405e-06
1.782484243853996e-06	1.267459e-06
1.792484243853996e-06	1.276412e-06
